"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кликабельности бело-синих кнопок","3778","Проверка кликабельности бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickWhiteAndBlueButtonsTest"
"Проверка кликабельности точек-кнопок и отображение зависимостей","2161","Проверка кликабельности точек-кнопок и отображение зависимостей","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickButtonDotsTest"
"Проверка открытия главной страницы","450","Проверка открытия главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","openLoginPageTest"
"Проверка чекбокса Запомнить меня","3792","Проверка чекбокса Запомнить меня","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkCheckboxTest"
"Проверка наличия вкладок главной страницы","748","Проверка наличия вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkTabElementsTest"
"Проверка вкладки Features","42582","Проверка вкладки Features","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkFeaturesTest"
"Проверка сообщения некорректного email","9918","Проверка сообщения некорректного email","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailIncorrectTest"
"Проверка hover эффекта бело-синих кнопок","24944","Проверка hover эффекта бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-08-02","failed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkHoverWhiteAndBlueButtons"
"Проверка сообщения пустого email","9916","Проверка сообщения пустого email","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailEmptyTest"
"Проверка наличия кнопок авторизации","11793","Проверка наличия кнопок авторизации","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationButtonsTest"
"Проверка подложки в поле для email","683","Проверка подложки в поле для email","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlaceholderTest"
"Проверка кликабельности элемента Pricing","2988","Проверка кликабельности элемента Pricing","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickPricingTest"
"Проверка авторизации, позитивный сценарий","18183","Проверка авторизации, позитивный сценарий","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationPositiveTest"
"Проверка вкладки Solutions","48908","Проверка вкладки Solutions","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkSolutionsTest"
"Проверка вкладки Resources","44322","Проверка вкладки Resources","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkResourcesTest"
"Проверка всплывающего окна вкладок главной страницы","1999","Проверка всплывающего окна вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPopUpWindowTest"
"Проверка кликабельности кнопки SignUp","14368","Проверка кликабельности кнопки SignUp","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkButtonSignUp"
"Проверка функции Forgot Password","7499","Проверка функции Forgot Password","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkForgotPassTest"
"Проверка открытия страницы авторизации","1504","Проверка открытия страницы авторизации","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","openLoginPageTest"
"Проверка вкладки Plans","34915","Проверка вкладки Plans","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlansTest"
