"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка кликабельности кнопки SignUp","14210","Проверка кликабельности кнопки SignUp","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkButtonSignUpTest"
"Проверка всплывающего окна вкладок главной страницы","1173","Проверка всплывающего окна вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPopUpWindowTest"
"Изменение цены дома с 123124 на 99999 и проверка обновления","741","Обновление информации о доме","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.HouseTest","Firefox","tests.api.HouseTest","updateHouse"
"Проверка кликабельности точек-кнопок и отображение зависимостей","2028","Проверка кликабельности точек-кнопок и отображение зависимостей","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickButtonDotsTest"
"Проверка авторизации, позитивный сценарий","18135","Проверка авторизации, позитивный сценарий","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationPositiveTest"
"Проверка функции Forgot Password","7836","Проверка функции Forgot Password","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkForgotPassTest"
"Проверка корректности данных дома после создания (ожидаемая цена: 123124)","714","Получение информации о созданном доме","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.HouseTest","Firefox","tests.api.HouseTest","getHouse"
"Проверка вкладки Solutions","49576","Проверка вкладки Solutions","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkSolutionsTest"
"Тест создает пользователя с параметрами: имя 'Jo', фамилия 'MO', возраст 20, баланс 20000. После создания проверяет данные в таблице person через JDBC.","764","Создание нового пользователя с проверкой в БД","BessolitsynIV_IPR_AT Test","2026-08-02","broken","2026-08-02","tests.api.UserTest","Firefox","tests.api.UserTest","createUser"
"Проверка изменения модели автомобиля с 'Karina' на 'Corolla' через API","765","Тест обновления данных автомобиля","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.CarTest","Firefox","tests.api.CarTest","updateCar"
"Проверка вкладки Resources","45433","Проверка вкладки Resources","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkResourcesTest"
"Проверка наличия кнопок авторизации","11581","Проверка наличия кнопок авторизации","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationButtonsTest"
"Проверка открытия страницы авторизации","2944","Проверка открытия страницы авторизации","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","openLoginPageTest"
"Проверка успешного удаления автомобиля из системы по его ID","727","Тест удаления автомобиля","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.CarTest","Firefox","tests.api.CarTest","deleteCar"
"Проверка сообщения некорректного email","10100","Проверка сообщения некорректного email","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailIncorrectTest"
"Проверка открытия главной страницы","536","Проверка открытия главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","openLoginPageTest"
"Проверка вкладки Plans","35173","Проверка вкладки Plans","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlansTest"
"Проверка корректности получения данных пользователя через API. Ожидаемое имя - 'Jo'.","712","Получение данных пользователя по ID","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.UserTest","Firefox","tests.api.UserTest","getUser"
"Проверка сообщения пустого email","10042","Проверка сообщения пустого email","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailEmptyTest"
"Проверка кликабельности элемента Pricing","2826","Проверка кликабельности элемента Pricing","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickPricingTest"
"Проверка успешного создания автомобиля с валидными данными: марка Toyota, модель Karina, тип двигателя Diesel","2989","Тест создания нового автомобиля через API","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.CarTest","Firefox","tests.api.CarTest","createCar"
"Проверка корректности получения данных созданного автомобиля по его ID","719","Тест получения данных об автомобиле","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.api.CarTest","Firefox","tests.api.CarTest","getCar"
"Проверка наличия вкладок главной страницы","336","Проверка наличия вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkTabElementsTest"
"Проверка кликабельности бело-синих кнопок","2841","Проверка кликабельности бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickWhiteAndBlueButtonsTest"
"Проверка чекбокса Запомнить меня","3749","Проверка чекбокса Запомнить меня","BessolitsynIV_IPR_AT Test","2026-08-02","passed","2026-08-02","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkCheckboxTest"
