"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка всплывающего окна вкладок главной страницы","1131","Проверка всплывающего окна вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPopUpWindowTest"
"Проверка открытия главной страницы","250","Проверка открытия главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","openLoginPageTest"
"Проверка вкладки Plans","34075","Проверка вкладки Plans","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlansTest"
"Проверка кликабельности кнопки SignUp","31004","Проверка кликабельности кнопки SignUp","BessolitsynIV_IPR_AT Test","2026-07-31","failed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkButtonSignUpTest"
"Проверка вкладки Solutions","47787","Проверка вкладки Solutions","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkSolutionsTest"
"Проверка авторизации, позитивный сценарий","17619","Проверка авторизации, позитивный сценарий","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationPositiveTest"
"Проверка подложки в поле для email","186","Проверка подложки в поле для email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkPlaceholderTest"
"Проверка чекбокса Запомнить меня","3404","Проверка чекбокса Запомнить меня","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkCheckboxTest"
"Проверка вкладки Resources","42979","Проверка вкладки Resources","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkResourcesTest"
"Проверка вкладки Features","42431","Проверка вкладки Features","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkFeaturesTest"
"Проверка наличия вкладок главной страницы","177","Проверка наличия вкладок главной страницы","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkTabElementsTest"
"Проверка hover эффекта бело-синих кнопок","19099","Проверка hover эффекта бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","checkHoverWhiteAndBlueButtonsTest"
"Проверка функции Forgot Password","7267","Проверка функции Forgot Password","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkForgotPassTest"
"Проверка кликабельности элемента Pricing","2539","Проверка кликабельности элемента Pricing","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickPricingTest"
"Проверка кликабельности бело-синих кнопок","2910","Проверка кликабельности бело-синих кнопок","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickWhiteAndBlueButtonsTest"
"Проверка сообщения пустого email","9554","Проверка сообщения пустого email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailEmptyTest"
"Проверка кликабельности точек-кнопок и отображение зависимостей","1232","Проверка кликабельности точек-кнопок и отображение зависимостей","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.HomeTest","Chrome","tests.ui.HomeTest","clickButtonDotsTest"
"Проверка сообщения некорректного email","9582","Проверка сообщения некорректного email","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkEmailIncorrectTest"
"Проверка открытия страницы авторизации","1903","Проверка открытия страницы авторизации","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","openLoginPageTest"
"Проверка наличия кнопок авторизации","11392","Проверка наличия кнопок авторизации","BessolitsynIV_IPR_AT Test","2026-07-31","passed","2026-07-31","tests.ui.LoginTest","Chrome","tests.ui.LoginTest","checkAuthorizationButtonsTest"
